"ITEM","CUSTOMER_NUMBER","WEEK","UNITS_SOLD"
19458,13565,3,4
19458,8723,4,1
19458,7060,2,1
19458,29805,3,1
19458,1050,2,1
19458,7970,3,1
19458,22846,1,79
20648,4861,1,1
20648,10679,1,31
20648,6361,1,78
20648,17084,3,1
20648,22846,1,34
20909,14892,1,43
20909,14892,4,92
20909,6003,1,6
20909,10575,3,87
20909,24513,2,20
20909,5928,4,96
20909,8648,3,95
20909,25434,3,37
20909,25434,4,29
20909,13179,1,62
20909,19735,3,27
20909,29844,1,85
20909,29844,4,15
20909,27050,3,24
20909,2957,1,1
20909,3095,1,58
20909,22352,3,73
20909,3344,2,74
20909,8110,2,45
20909,3812,1,96
20909,19880,3,31
20909,7564,3,3
20909,17211,3,33
20909,9842,3,10
20909,2877,3,53
20909,20378,3,98
20909,20378,4,99
20909,12103,4,93
20909,6141,5,81
20909,19922,1,8
20909,13393,4,9
20909,28062,1,73
20909,7953,3,30
20909,28522,1,77
20909,28522,2,88
20909,10498,4,66
20909,25549,3,86
20909,13899,1,99
20909,4861,3,3
20909,9738,3,95
20909,16423,1,79
20909,16423,3,41
20909,15941,3,31
20909,29850,3,97
20909,27101,2,16
20909,12469,1,52
20909,11230,3,50
20909,26010,4,22
20909,26696,3,16
20909,783,3,63
20909,1636,1,54
20909,1636,3,46
20909,15802,1,3
20909,20573,1,47
20909,20573,3,53
20909,15753,1,78
20909,29673,1,65
20909,14669,3,77
20909,16510,3,15
20909,23379,1,36
20909,23379,2,57
20909,24821,4,74
20909,2954,1,19
20909,2954,3,28
20909,21130,1,97
20909,21130,2,25
20909,16502,1,38
20909,16502,3,32
20909,23984,3,4
20909,19831,1,94
20909,12381,2,80
20909,12381,3,3
20909,9363,1,36
20909,21378,1,31
20909,12401,3,61
20909,13916,4,94
20909,24290,3,36
20909,6535,3,48
20909,13281,1,44
20909,10495,4,96
20909,14084,1,99
20909,1937,1,63
20909,1937,3,78
20909,19894,2,82
20909,8561,1,90
20909,8561,2,67
20909,22642,4,14
20909,7085,1,77
20909,24510,3,1
20909,10938,1,43
20909,10938,3,89
20909,20097,1,44
20909,20097,4,47
20909,3905,2,63
20909,9385,3,100
20909,13347,3,32
20909,13347,4,2
20909,16740,3,73
20909,14992,1,66
20909,18777,1,54
20909,16779,3,58
20909,17697,1,53
20909,17697,4,65
20909,29805,3,71
20909,25917,3,35
20909,15687,2,81
20909,8222,3,72
20909,7317,1,57
20909,7317,3,69
20909,7317,4,13
20909,5476,1,69
20909,25,2,52
20909,18301,3,62
20909,18301,4,55
20909,25833,1,27
20909,17898,3,7
20909,27688,1,15
20909,27688,3,42
20909,4682,1,86
20909,15905,3,61
20909,17078,3,17
20909,1977,3,21
20909,26304,3,25
20909,26304,4,87
20909,9291,1,56
20909,4348,1,22
20909,10496,3,41
20909,21011,1,99
20909,18482,4,6
20909,29286,1,36
20909,20839,1,47
20909,27394,3,43
20909,1352,3,39
20909,28049,1,28
20909,28049,4,79
20909,15911,1,57
20909,15911,2,22
20909,1625,3,18
20909,12418,1,47
20909,24436,1,1
20909,7786,3,33
20909,28433,3,75
20909,1493,1,60
20909,11470,3,12
20909,11470,4,97
20909,14337,1,92
20909,23691,2,61
20909,25802,3,87
20909,16804,2,56
20909,10319,1,26
20909,27456,3,3
20909,5853,2,22
20909,7013,3,68
20909,6009,3,98
20909,8555,2,29
20909,14457,3,91
20909,11843,3,64
20909,22418,2,31
20909,15370,1,60
20909,1736,3,48
20909,20501,1,56
20909,17068,1,15
20909,21771,1,87
20909,21771,3,52
20909,11840,4,16
20909,19622,3,48
20909,3822,3,66
20909,17701,1,71
20909,29443,1,75
20909,1180,1,30
20909,28833,3,17
20909,5336,1,100
20909,5336,4,10
20909,510,1,73
20909,25089,4,67
20909,1749,1,59
20909,1386,4,35
20909,17226,1,75
20909,24860,3,35
20909,25014,3,92
20909,7712,4,16
20909,8382,2,77
20909,8382,3,49
20909,23486,3,47
20909,22838,2,69
20909,22838,3,43
20909,22838,4,99
20909,24390,1,45
20909,24897,1,86
20909,24897,3,16
20909,3481,1,85
20909,18052,3,100
20909,15639,4,47
20909,17658,3,93
20909,1062,2,7
20909,15346,1,16
20909,2531,1,63
20909,2531,3,5
20909,15028,1,50
20909,7064,3,6
20909,9149,2,53
20909,21271,4,38
20909,22083,3,92
20909,28081,1,61
20909,15660,2,33
20909,22495,3,14
20909,27710,1,64
20909,12372,3,98
20909,17898,1,74
20909,25789,3,79
20909,23792,2,18
20909,17828,1,92
20909,609,4,31
20909,24412,1,61
20909,21313,3,48
20909,5965,3,83
22721,27727,1,11
23931,7195,1,11
23931,1866,2,2
23931,19735,2,1
23931,3344,4,1
23931,14524,3,1
23931,14524,4,2
23931,17558,3,3
23931,20378,2,1
23931,17023,4,1
23931,19922,3,1
23931,19922,4,4
23931,20464,3,4
23931,10498,1,2
23931,18871,2,1
23931,4861,1,29
23931,7567,3,3
23931,22179,4,5
23931,27970,2,1
23931,27101,1,4
23931,27101,5,5
23931,29884,5,8
23931,11577,2,3
23931,19143,2,1
23931,22808,1,19
23931,11912,3,1
23931,22895,2,1
23931,26010,1,2
23931,26696,1,64
23931,26084,2,1
23931,14378,2,6
23931,8262,2,8
23931,19512,1,21
23931,19357,1,4
23931,10503,2,1
23931,15335,5,3
23931,9201,2,7
23931,24821,4,1
23931,16502,1,9
23931,9363,4,1
23931,23667,4,1
23931,20928,2,1
23931,1937,4,2
23931,7085,2,3
23931,20547,2,2
23931,22310,2,3
23931,22310,4,1
23931,3905,4,1
23931,15820,1,1
23931,9359,2,5
23931,19564,2,3
23931,24845,2,5
23931,18763,2,1
23931,9071,2,1
23931,17740,2,1
23931,10737,2,1
23931,17078,1,2
23931,26553,1,33
23931,3147,1,3
23931,4348,1,13
23931,19696,2,2
23931,286,2,1
23931,3270,1,16
23931,23661,2,3
23931,16828,1,59
23931,20434,3,1
23931,1493,4,1
23931,26569,3,6
23931,23707,2,4
23931,27456,1,1
23931,27456,4,1
23931,7160,4,1
23931,23704,2,2
23931,22418,4,1
23931,23962,3,2
23931,1736,4,1
23931,16287,4,5
23931,26189,2,3
23931,20288,5,1
23931,13266,2,1
23931,13266,4,5
23931,17056,4,2
23931,25378,1,1
23931,25378,3,5
23931,29545,2,4
23931,17529,2,2
23931,15639,3,2
23931,17658,2,1
23931,17658,3,3
23931,1738,5,4
23931,28605,4,2
23931,6147,3,1
23931,7064,2,1
23931,4263,1,3
23931,10491,5,2
23931,4091,2,8
23931,27573,1,2
23931,28081,2,1
23931,1011,1,62
24168,1690,3,1
24168,3095,2,1
24168,19880,3,3
24168,2877,4,1
24168,20378,5,1
24168,7100,4,2
24168,5943,2,2
24168,9738,5,7
24168,10184,2,2
24168,15941,1,1
24168,18489,4,1
24168,13815,2,1
24168,13815,3,1
24168,28696,3,2
24168,783,2,1
24168,15802,1,56
24168,18886,2,2
24168,15753,1,1
24168,22165,3,1
24168,8136,2,1
24168,9201,1,90
24168,6638,2,6
24168,13538,5,1
24168,21378,4,1
24168,13916,2,1
24168,4899,5,1
24168,9819,2,1
24168,6499,3,3
24168,17042,2,1
24168,14685,1,10
24168,24510,2,8
24168,10281,2,2
24168,9385,4,1
24168,15959,3,1
24168,5834,1,9
24168,26553,4,2
24168,26304,3,1
24168,4348,1,27
24168,23595,2,1
24168,26753,1,1
24168,1078,4,1
24168,10244,2,1
24168,24436,4,1
24168,2596,3,1
24168,16629,2,3
24168,23691,3,2
24168,23707,3,2
24168,5853,2,1
24168,1736,2,1
24168,21771,1,11
24168,22133,5,1
24168,758,2,3
24168,29701,1,1
24168,7712,3,3
24168,4976,2,1
24168,8727,2,2
24168,24390,4,2
24168,24390,5,1
24168,16154,2,1
24168,17529,3,4
24168,15639,2,2
24168,15841,2,1
24168,1062,5,3
24168,3253,4,1
24168,4263,3,2
24168,11230,3,1
24168,21271,4,1
24168,12372,1,1
24168,22919,2,3
24168,8692,1,7
24168,10049,1,13
24168,10049,4,1
24168,1011,1,2
24168,11979,4,1
26223,10065,1,34
26223,14669,3,12
26223,2093,3,12
26223,23335,5,12
26223,1492,3,12
26223,9291,1,69
26223,9291,3,12
26223,25119,3,12
26223,510,3,12
26223,17226,3,12
26223,22838,3,12
28434,14892,4,4
28434,20818,2,1
28434,3486,4,1
28434,22302,2,1
28434,17925,4,2
28434,25434,3,12
28434,1568,2,2
28434,27050,1,5
28434,27050,4,1
28434,6312,1,67
28434,6312,2,6
28434,28353,3,8
28434,3812,2,3
28434,19880,4,12
28434,2877,3,25
28434,18333,3,9
28434,20378,1,64
28434,20378,4,1
28434,3952,3,9
28434,10065,3,5
28434,21002,2,1
28434,21002,3,1
28434,21002,4,2
28434,29514,1,1
28434,29514,2,10
28434,15173,1,2
28434,13393,4,2
28434,18871,2,2
28434,9738,3,3
28434,4712,3,4
28434,13815,2,3
28434,27101,2,6
28434,27013,2,9
28434,26899,2,6
28434,12219,1,2
28434,12219,4,3
28434,29664,3,1
28434,725,2,12
28434,18690,2,12
28434,12081,1,19
28434,22895,4,7
28434,16440,1,30
28434,26010,5,2
28434,12465,3,14
28434,1636,5,1
28434,24609,2,1
28434,8136,3,1
28434,8136,4,1
28434,4306,2,1
28434,9201,1,69
28434,9201,4,1
28434,9201,5,1
28434,3076,2,3
28434,24821,2,2
28434,25082,4,3
28434,16502,2,12
28434,2093,1,40
28434,2093,2,12
28434,838,1,12
28434,24341,1,82
28434,20928,1,2
28434,20925,1,100
28434,23217,4,1
28434,22642,5,4
28434,7085,3,36
28434,10281,4,2
28434,29805,2,1
28434,8222,3,5
28434,25672,5,2
28434,27542,3,5
28434,15959,3,12
28434,8069,1,39
28434,8649,5,1
28434,17740,3,1
28434,1492,3,19
28434,7106,1,1
28434,7106,3,2
28434,476,4,2
28434,27481,3,1
28434,26553,1,8
28434,26304,1,30
28434,24519,2,1
28434,6361,1,7
28434,6361,5,1
28434,3270,1,1
28434,10244,4,12
28434,2806,1,1
28434,11418,2,1
28434,11418,5,1
28434,26569,4,6
28434,16629,4,12
28434,15355,4,1
28434,1050,5,1
28434,27456,4,1
28434,22160,4,1
28434,7160,3,12
28434,20370,4,3
28434,19903,2,2
28434,21771,3,3
28434,9674,3,16
28434,17084,3,11
28434,19622,4,2
28434,3822,2,1
28434,13266,1,100
28434,3466,4,1
28434,6257,3,2
28434,6257,4,2
28434,21758,5,1
28434,19531,1,49
28434,25378,2,4
28434,4129,2,12
28434,9629,2,2
28434,8794,5,1
28434,28605,1,2
28434,15346,2,4
28434,10211,5,1
28434,10491,2,12
28434,10491,5,12
28434,29812,3,10
28434,24966,5,1
28434,27573,4,1
28434,18557,2,1
28434,15660,2,2
28434,25994,2,1
28434,24142,1,9
28434,3568,3,12
28434,5525,2,3
28434,17898,4,1
28434,22919,3,2
28434,14827,1,1
28434,8692,2,6
28434,22921,4,1
28434,1011,2,2
28701,20818,4,12
28701,5928,1,45
28701,2957,2,7
28701,3095,1,3
28701,14524,1,6
28701,20642,3,18
28701,19880,3,20
28701,13055,1,3
28701,13055,2,2
28701,28235,2,1
28701,2839,5,12
28701,27654,1,3
28701,16210,4,3
28701,12103,3,3
28701,28777,4,2
28701,7100,5,3
28701,5943,1,78
28701,10498,4,2
28701,15737,4,33
28701,9738,4,12
28701,21839,4,6
28701,13815,1,64
28701,29884,4,1
28701,11577,1,69
28701,18924,4,1
28701,22527,3,1
28701,25178,5,2
28701,12469,2,1
28701,26899,4,1
28701,12081,3,18
28701,11630,3,22
28701,8723,1,79
28701,8723,3,28
28701,8328,4,2
28701,9098,3,12
28701,20085,4,8
28701,11912,2,1
28701,22895,1,1
28701,9461,4,7
28701,14378,4,1
28701,24614,3,4
28701,22165,4,1
28701,4306,3,66
28701,4306,4,1
28701,16510,5,4
28701,24821,3,43
28701,21130,3,1
28701,838,1,6
28701,838,2,4
28701,12381,2,5
28701,12381,4,8
28701,21378,4,1
28701,8113,4,4
28701,23667,3,31
28701,22959,2,1
28701,12401,4,3
28701,20928,4,1
28701,20925,1,4
28701,28312,3,6
28701,15456,2,1
28701,4899,3,12
28701,13641,4,12
28701,4618,4,2
28701,6499,4,8
28701,24510,3,30
28701,24510,5,1
28701,13863,3,36
28701,12527,3,4
28701,12527,5,4
28701,27727,3,24
28701,10281,2,1
28701,16740,4,4
28701,21918,2,2
28701,9687,3,4
28701,9687,4,3
28701,16779,3,30
28701,7060,3,38
28701,9976,1,10
28701,29805,3,12
28701,29805,5,1
28701,2065,2,1
28701,15687,1,6
28701,15687,4,2
28701,22723,2,3
28701,25672,1,4
28701,25672,3,51
28701,7317,3,38
28701,25,2,2
28701,25833,5,10
28701,17898,3,3
28701,26553,4,4
28701,26304,4,3
28701,19696,5,1
28701,6361,1,93
28701,18482,2,8
28701,5505,2,1
28701,19826,1,1
28701,19826,3,4
28701,2806,1,1
28701,1,3,1
28701,12418,3,33
28701,23155,4,2
28701,24436,4,5
28701,1493,1,65
28701,1493,3,3
28701,14337,3,46
28701,14337,4,4
28701,3046,2,1
28701,224,5,1
28701,8346,5,1
28701,20874,2,12
28701,3996,3,19
28701,3996,4,1
28701,6009,3,25
28701,26239,3,55
28701,11843,1,12
28701,1736,2,1
28701,20501,1,1
28701,20501,2,5
28701,17068,3,39
28701,1401,3,1
28701,7284,1,1
28701,20288,3,2
28701,5336,4,8
28701,1390,3,12
28701,25089,1,1
28701,25089,5,1
28701,17056,4,5
28701,17226,1,1
28701,17226,2,5
28701,24860,4,2
28701,15958,4,1
28701,23486,3,24
28701,21758,2,5
28701,29732,3,44
28701,19531,1,33
28701,28558,4,3
28701,4129,2,10
28701,9629,3,2
28701,5671,3,1
28701,1738,4,1
28701,1062,4,6
28701,10491,3,30
28701,10491,4,3
28701,29812,3,52
28701,22083,1,41
28701,22495,2,13
28701,27710,3,21
28701,24142,1,16
28701,17898,1,1
28701,21313,2,5
28701,18059,3,5
28701,18059,4,2
28701,5732,2,1
28701,13358,4,3
29511,25434,2,3
29511,7195,2,2
29511,19735,2,1
29511,29844,3,2
29511,27050,5,3
29511,28235,2,2
29511,10065,3,5
29511,12131,2,3
29511,24093,2,2
29511,29884,1,1
29511,29884,3,3
29511,26899,4,1
29511,1636,1,34
29511,14611,4,1
29511,8262,3,5
29511,23379,5,1
29511,25082,5,1
29511,5143,3,2
29511,5143,4,1
29511,2093,3,7
29511,19831,5,1
29511,12381,2,1
29511,21378,5,1
29511,13281,3,2
29511,13281,5,1
29511,14084,1,2
29511,14084,2,2
29511,8561,4,2
29511,22642,5,1
29511,9819,4,1
29511,12527,1,1
29511,16740,2,2
29511,14992,2,2
29511,5731,3,4
29511,4358,3,1
29511,22206,5,1
29511,19617,2,1
29511,19617,5,1
29511,1492,4,4
29511,27481,3,1
29511,26553,4,2
29511,23595,3,2
29511,23595,4,2
29511,1078,5,1
29511,18886,5,1
29511,1311,3,1
29511,1311,4,1
29511,25119,2,5
29511,25119,3,2
29511,25119,4,9
29511,16828,1,91
29511,26569,3,8
29511,9481,1,8
29511,16629,2,1
29511,3046,2,1
29511,10319,2,2
29511,27456,2,1
29511,3996,4,1
29511,18736,3,8
29511,9674,3,1
29511,16287,3,5
29511,11,2,1
29511,3466,2,2
29511,13786,1,26
29511,15639,5,2
29511,3337,4,3
29511,8794,5,1
29511,503,3,2
29511,7064,2,1
29511,10211,2,2
29511,29812,4,2
29511,22083,3,6
29511,28081,3,3
29511,15660,3,7
29511,15660,4,1
29511,5525,1,1
29511,5525,3,20
29511,23947,1,45
29511,1011,2,1
30654,25434,1,1
30654,19025,1,3
30654,29844,4,2
30654,19922,3,1
30654,16423,2,1
30654,15025,1,1
30654,19166,1,1
30654,12219,2,1
30654,20085,1,1
30654,9461,2,3
30654,1636,2,1
30654,8262,4,1
30654,16502,2,3
30654,21378,5,1
30654,24290,1,4
30654,14084,4,2
30654,7085,4,1
30654,22310,1,6
30654,21918,1,1
30654,9359,1,34
30654,7060,3,1
30654,5397,3,1
30654,17740,1,27
30654,1492,1,92
30654,3147,2,1
30654,23595,3,1
30654,19826,1,5
30654,10244,2,3
30654,2596,2,4
30654,1050,5,1
30654,22160,3,1
30654,15625,3,1
30654,1736,1,42
30654,21733,2,1
30654,17529,3,5
30654,11019,4,2
30654,11372,2,1
30654,20273,2,1
30654,4263,5,1
30654,22083,4,2
30654,8880,1,2
30654,1011,5,1
30909,26865,3,2
30909,17925,3,1
30909,17925,4,1
30909,29844,4,2
30909,27050,1,1
30909,22352,4,1
30909,25418,3,1
30909,18146,2,3
30909,20642,4,1
30909,3812,3,1
30909,22300,1,19
30909,17211,2,2
30909,24868,5,5
30909,10065,1,1
30909,10065,3,1
30909,21002,4,2
30909,12131,1,46
30909,29653,2,2
30909,27654,3,2
30909,25197,1,2
30909,6027,3,1
30909,20464,2,1
30909,10498,1,1
30909,22179,3,2
30909,17454,3,1
30909,16423,2,1
30909,3581,3,1
30909,29884,3,1
30909,22808,3,1
30909,29664,1,2
30909,8723,4,1
30909,22895,2,1
30909,8676,3,2
30909,783,2,1
30909,5188,1,1
30909,2123,2,1
30909,16510,3,1
30909,539,1,1
30909,24821,2,2
30909,2954,1,2
30909,17127,4,1
30909,21130,3,1
30909,21130,4,2
30909,21130,5,1
30909,5143,3,1
30909,2093,1,34
30909,12381,3,2
30909,21586,2,3
30909,14685,3,1
30909,20710,1,3
30909,26283,5,1
30909,10281,5,2
30909,22310,2,1
30909,3905,2,3
30909,25614,1,3
30909,21918,1,1
30909,21918,2,1
30909,21918,3,1
30909,14992,1,1
30909,26685,4,1
30909,17697,1,1
30909,7060,1,1
30909,7716,1,1
30909,8222,1,1
30909,8222,3,1
30909,23810,3,1
30909,18301,4,1
30909,25833,3,1
30909,25833,4,1
30909,17681,3,2
30909,10737,2,1
30909,1977,1,2
30909,5943,1,1
30909,24519,2,1
30909,19696,4,1
30909,23595,3,1
30909,18482,3,1
30909,18886,1,2
30909,3270,1,3
30909,19826,2,2
30909,28049,1,1
30909,26005,1,2
30909,29208,1,57
30909,1625,4,1
30909,12418,1,1
30909,23155,2,1
30909,2596,4,2
30909,1493,1,32
30909,20825,2,2
30909,11470,2,1
30909,10642,4,1
30909,10642,5,1
30909,3046,2,1
30909,21710,2,1
30909,7970,4,2
30909,26336,5,1
30909,5853,4,2
30909,26239,3,1
30909,18736,5,1
30909,15625,1,1
30909,9674,1,3
30909,16287,3,2
30909,26189,1,1
30909,20288,3,2
30909,18656,1,1
30909,24507,1,1
30909,3822,1,1
30909,3822,2,1
30909,13266,1,2
30909,13266,4,1
30909,2919,3,1
30909,3041,3,2
30909,21733,1,1
30909,25089,5,1
30909,24892,2,1
30909,25378,3,2
30909,25378,4,1
30909,18052,2,1
30909,17658,2,1
30909,8794,2,3
30909,8794,4,1
30909,4263,4,2
30909,4091,4,1
30909,29456,1,85
30909,18557,1,1
30909,17801,4,1
30909,7125,2,3
30909,3431,1,1
30909,12372,3,1
30909,22919,3,1
30909,23792,5,1
30909,13600,1,85
30909,5732,2,1
30909,11979,2,1
32931,6312,1,12
32931,3344,2,12
32931,19880,1,89
32931,5943,3,12
32931,4861,1,99
32931,3581,4,12
32931,21789,1,53
