"ITEM","WEEK","UNITS_ON_HAND"
169766,5,865
121424,5,365
1566589,3,66
1232842,3,2911
67415,1,50
96430,1,91
79530,3,12
167550,1,805
45683,5,423
72443,2,23
106880,5,937
409916,2,787
143384,5,50
153783,2,71
200157,4,51
1211848,2,770
167128,4,751
887475,1,808
1219323,1,20
312323,1,87
373850,5,5275
121424,4,435
146978,5,299
82698,1,4375
1218485,1,1802
159408,3,6965
167128,3,791
67415,4,26
49189,2,400
1248627,5,4
913623,4,92
198307,5,57
1240373,4,6
885407,4,1
125325,1,7052
398021,1,4355
1248627,4,5
231881,2,527
144906,4,60
312985,1,3238
1563886,4,14
228934,1,628
1320561,3,5
1257843,2,128
36216,4,497
12227,5,793
139391,4,478
413688,1,960
28434,2,7920
411636,3,1456
219438,4,525
22721,4,6891
131927,1,22
77313,4,23
96377,5,1918
1538343,1,99
1252318,2,1207
106880,4,945
180386,4,7554
159408,2,5398
1158412,4,11267
158372,3,927
197386,5,29
1304952,1,564
146819,5,2338
1209083,2,6402
1211848,1,830
12227,4,917
1302459,1,676
1289409,1,92
1254393,3,9431
395747,2,7929
160960,4,1347
96430,3,74
43289,3,2466
1543407,3,645
1279888,4,387
152478,1,40
171732,1,82
1271607,5,20
110852,5,26
1299975,5,22
161105,2,580
1265189,5,46
373850,4,6527
1279888,5,296
1271607,4,19
398021,4,8056
305738,1,6637
38658,3,15
1161658,2,63
28701,4,2809
921780,5,887
1250177,1,9541
1158173,4,417
22721,1,4820
129780,5,71
85559,1,534
169766,2,998
1228944,5,1197
111720,5,2620
209498,4,96
201772,3,1271
1233344,4,6711
28701,5,2312
52209,4,24
213406,2,422
1324172,2,16
1296986,2,626
1210746,1,94
66253,2,720
90533,2,51
129780,3,108
197895,1,510
398970,2,19
1242536,4,29
1208107,5,71
149353,5,6083
888634,2,61
153783,4,55
187484,5,15
1238989,3,14
1225525,1,17
1293458,4,434
911979,2,3068
416042,4,9762
115942,4,598
1565869,1,854
1231141,3,7224
1566589,5,48
81915,5,48
177028,4,34
1270317,4,13
197386,1,52
51889,2,14
115942,5,509
239049,5,760
156054,5,183
17972,1,3
1248627,1,11
885407,3,2
62427,4,56
1163253,3,29
398021,3,6721
77313,3,31
1564618,2,820
134101,1,1
90908,2,1785
1563228,3,43
113472,1,100
39843,2,868
131927,5,8
198307,1,95
38658,4,12
236208,3,325
105124,1,880
1261725,4,49
164590,3,32
60979,5,4
96377,1,1978
85559,5,376
390888,5,21
887475,4,338
1553993,2,7337
188651,3,5
1242536,5,38
34780,3,765
203619,2,524
185123,3,1924
398970,1,26
158372,2,1194
10998,3,38
96377,2,1693
205431,2,608
94986,3,4270
93735,2,7633
261973,5,64
1254393,4,8939
1245765,5,38
389739,2,45
117651,3,26
1270158,3,77
19458,1,729
46866,2,6689
20909,3,47
1254393,5,7800
197895,2,573
1295483,3,6303
1313684,2,13
173409,1,5519
71626,4,18
1248170,4,52
215342,3,24
239049,4,852
9023,4,1442
218489,2,32
239070,3,87
1266564,3,437
89647,3,49
51889,1,18
1321869,5,68
1219323,5,11
93207,5,528
1279888,2,524
1235287,1,64
127237,5,1
1163253,2,28
41134,3,37
191730,5,21
913495,1,95
193538,5,624
155806,3,8
921780,3,895
915999,1,9267
1274223,4,587
231881,4,432
1310727,4,5965
1267674,2,85
213406,4,335
312323,2,61
1270317,3,12
308236,3,40
1276237,5,1455
357262,4,985
236208,1,551
919095,3,3100
1538343,2,94
144034,4,80
159408,5,4726
218489,3,30
411636,1,2775
911979,4,2167
22721,5,6666
51889,4,9
192584,2,529
143384,3,70
1219323,3,16
1298834,2,870
1274223,1,604
1255496,3,406
161105,4,780
20648,5,23
20648,2,44
1161658,3,53
204993,1,88
58262,2,5251
84850,2,43
106880,2,888
1228944,1,842
216124,3,3239
1563886,2,22
1263203,1,95
204993,3,73
15395,2,97
53918,3,72
51392,4,1236
150935,2,67
17778,5,705
144906,1,52
395747,3,5988
43289,2,2495
1564618,4,595
1317830,2,643
1309069,3,584
915999,5,5051
1218485,5,1450
90908,3,1701
144906,5,48
1302459,4,484
207253,4,64
121424,2,747
1565560,4,2042
90533,1,38
149931,5,21
52209,1,33
36216,1,835
22721,2,6828
1267674,4,68
1322935,2,78
62427,2,48
216124,4,2524
206577,4,1293
1237717,2,51
1307023,1,971
1315560,3,15725
45683,4,476
192584,1,725
1298052,4,1007
1286579,3,59
413688,5,319
12227,1,974
1208107,3,74
408294,3,1
1303524,4,35
217352,3,21
116808,5,904
144034,5,57
173409,3,5577
1551604,3,34
911979,3,2926
371535,2,8893
1538343,5,59
1210746,3,72
389739,3,41
160960,5,1427
180386,3,8157
223428,5,994
63264,2,61
922272,4,613
79530,5,7
1276237,4,1899
885775,4,1050
405691,1,753
1323917,3,1361
74106,4,1
401287,3,764
20909,2,55
131927,4,12
142342,1,50
1272289,5,749
1250177,4,6504
1543407,5,658
1276237,2,2138
165967,4,85
1213965,4,57
412791,3,31
82698,5,5601
49189,5,248
1315560,2,11800
259471,4,7
401287,1,619
1210746,5,61
127237,1,4
41134,1,48
1209083,3,6661
24168,4,34
1538343,3,76
1259519,3,3848
165967,3,86
1232842,1,4691
28701,2,3346
1304952,2,454
1539030,2,358
13964,4,76
1216034,5,738
918338,3,923
53918,5,72
142342,4,35
34780,5,526
182717,3,25
195228,3,43
102648,1,2461
20648,3,35
86162,5,1836
1225525,2,12
1296843,4,457
86830,4,40
1321869,2,77
134101,2,0
12306,3,1001
398970,5,11
163249,2,73
223745,3,77
357262,3,1304
1265189,2,37
165967,5,79
227736,3,11
1282190,5,3418
312323,4,41
1243445,5,65
1543407,2,656
223428,2,795
390888,3,37
154394,4,44
1311445,5,2697
1235287,3,80
401287,4,637
223428,4,1208
171732,5,49
1320561,4,3
207253,2,65
86162,3,3194
312985,5,2461
1318253,4,15
922272,1,542
182717,2,30
1266123,4,73
217352,5,20
175491,1,71
1284160,2,2430
1259519,1,4636
304324,1,7989
10998,5,23
306511,3,6356
9023,5,1436
1553993,5,9353
19458,3,766
1220712,2,4126
1287156,4,455
1243445,3,90
409916,1,856
129780,4,82
1551604,2,40
114190,1,82
46866,5,4927
390888,2,40
55836,5,54
89647,5,46
137321,4,5861
49189,3,312
918338,4,815
93207,3,660
407909,4,6136
119750,4,458
9682,3,75
82383,4,507
413688,3,532
30654,2,792
1216034,1,931
203619,1,588
39350,1,20
389739,1,56
81915,1,73
147911,3,110
28434,1,8527
403188,2,40
1227971,2,1303
221035,1,82
171732,4,64
9682,4,98
1156829,5,2321
200157,1,60
20909,5,43
216124,5,2017
100538,5,370
203619,4,326
149931,3,29
19458,5,791
34757,2,77
1287156,3,392
187484,3,19
88498,3,3915
124010,4,1103
1298052,2,1728
405691,3,643
1255496,2,479
137321,3,7539
198307,3,91
407909,3,6534
144034,1,62
30909,1,634
175491,5,79
1213965,3,58
1267674,5,56
193538,2,577
200157,2,55
219442,5,77
1311445,3,3981
158372,5,939
1259519,4,3136
1265189,3,47
39843,1,927
214227,4,24
218520,3,666
17778,3,843
308236,1,58
154394,3,54
188651,2,6
34780,2,497
147911,2,117
1267674,1,93
96430,2,82
1272985,5,36
115942,1,720
412791,2,33
411032,5,4005
211235,4,52
1298834,3,705
227736,1,12
28701,3,2911
1322935,5,73
239070,2,70
62427,5,43
222708,1,98
1237043,4,56
167550,5,559
1295483,5,4447
142342,2,45
1161293,5,479
218489,1,36
1304650,4,3260
10998,2,34
20648,1,32
1261725,1,73
411032,1,3965
192584,3,426
163249,1,57
60979,2,3
63264,3,52
1295483,1,8130
373850,1,7531
1156829,3,3577
190757,4,18
371535,5,11794
218520,1,686
93207,1,863
308236,2,43
1287156,1,550
885775,5,919
1296843,3,502
53569,1,9436
1218900,1,804
152478,5,29
161105,3,616
201772,4,1166
1322935,1,79
209498,3,84
1282190,3,4486
1218900,3,735
98446,2,640
403188,1,43
305738,2,6985
85559,3,436
28434,3,12118
1324172,4,14
922272,5,612
1238989,4,9
1271607,2,31
175059,1,68
1161293,2,822
357262,5,886
49189,1,542
885775,3,915
261187,5,11
400072,3,57
88498,2,4636
305738,3,5171
214227,5,19
96377,3,1629
191730,1,44
111720,2,2876
182717,5,28
1263203,5,58
911979,5,2081
1233344,3,6977
81915,2,54
26223,5,21
1323917,2,989
1307023,4,759
215342,5,21
259471,3,10
211235,2,79
307125,1,6947
96430,4,71
219438,1,623
213406,5,311
1252318,5,2624
175059,5,69
1209083,5,7535
1208107,1,72
261973,3,89
1238989,2,16
1270158,1,74
88498,4,3646
1261725,5,40
197895,5,346
39350,5,17
147911,4,147
1266479,2,43
1282190,2,4362
19458,4,979
222575,5,452
131927,3,18
1209083,1,7305
141365,5,532
1250177,3,7639
163249,5,60
357262,2,833
117651,1,38
79530,2,13
67415,5,30
13964,5,58
1220712,3,3374
192584,5,565
72156,1,900
259471,5,5
98174,2,640
86830,2,59
125561,1,929
66253,3,552
127237,2,3
12306,1,1090
1225525,5,7
160136,2,1521
201772,1,1427
155517,4,5
15395,5,118
94986,2,4913
1265189,1,45
1261725,2,53
395747,5,8575
1266479,5,47
1279888,3,410
1310727,1,3342
26223,3,28
222575,1,752
188651,1,7
412791,5,39
307125,4,4330
1563886,5,12
51392,5,1761
116808,4,645
1235287,5,44
1316882,4,42
1270317,1,18
1322935,3,87
155806,1,11
46866,3,6228
12306,5,687
94986,5,2268
1289409,5,66
1218485,2,1273
308236,4,28
141365,3,469
144034,3,81
214227,2,41
198307,2,111
304324,4,4371
1208095,4,1820
1245765,3,67
1250177,5,4587
185123,5,2845
1264222,1,673
195498,1,9586
74336,1,32
223428,1,955
1304650,2,3611
371535,1,8917
913495,2,78
167550,2,781
60979,4,3
238327,1,74
222708,4,82
1266564,2,542
1218485,3,1218
195498,5,5812
1296986,5,390
1266123,5,60
1323917,5,1442
188651,5,3
175491,3,88
416042,2,7232
125561,5,640
919095,5,3119
416042,5,8389
144906,3,64
86162,2,3088
913623,1,83
43289,1,3126
398970,3,16
141365,4,425
160136,4,975
163249,3,71
412791,1,29
143384,1,80
400072,5,54
17778,2,979
306511,2,6464
66253,5,501
190757,1,26
156054,4,120
192085,2,3
1237717,1,53
1322935,4,85
180386,2,10076
155517,3,8
1242536,1,45
1235287,2,98
217352,1,21
1566589,4,60
233204,4,1748
155517,1,8
122471,5,37
223745,4,63
373850,3,5175
400072,4,52
124010,2,1397
185490,2,61
15395,4,135
143384,2,75
51889,3,10
395747,4,5885
60420,1,599
1563886,3,19
62427,3,50
395747,1,9841
1228944,2,882
156054,1,97
124010,3,1106
1277691,5,253
1298052,5,1325
90908,4,1485
407909,1,5885
1539030,1,511
1553993,4,6458
89647,1,67
169766,3,997
1219323,4,14
12227,3,1283
885407,5,0
885775,2,1280
117651,5,14
39350,4,19
211235,5,46
85559,4,390
23931,3,753
1257843,3,139
239049,3,924
1209083,4,6561
116808,1,601
30654,4,557
90533,4,32
921780,1,918
1274223,3,489
12306,2,1050
1257843,5,132
1237043,2,49
1316882,3,46
1303524,2,35
1228944,4,1233
1302459,5,610
1250177,2,9233
32931,2,61
66253,4,530
71626,1,30
79530,1,16
1317830,3,606
1248627,2,8
160960,3,1333
63264,5,66
100538,3,484
1225069,2,594
1263203,4,42
29511,5,27
38658,5,8
919095,4,3093
1248170,5,39
413688,4,424
1324172,1,17
60438,4,6574
221035,5,41
175059,2,64
1231141,4,6826
239049,1,993
310686,5,219
159408,4,4895
28434,4,16569
1158173,3,462
1225525,4,8
217383,3,22
1324172,5,11
1293458,1,530
1163253,1,26
67415,2,40
30654,5,417
1218900,2,793
411636,5,1672
308236,5,25
96377,4,2412
1299975,4,30
1243445,2,71
124010,1,1359
113472,2,73
53918,4,77
1240373,5,4
12227,2,1307
125325,5,8920
222708,5,69
389739,5,25
1158173,1,509
1264222,5,821
1159223,5,24
206577,5,1861
17972,3,1
45683,1,686
77313,5,22
1320561,1,8
1220712,1,4194
1298834,1,716
51392,1,1127
1565869,2,755
167128,5,715
1321869,4,93
310686,1,536
153783,5,40
305738,4,4862
390888,1,47
405691,2,670
125325,2,5310
187484,1,26
195228,5,41
53918,2,89
1161658,5,30
112734,3,109
198307,4,68
144906,2,51
222575,4,473
227736,2,14
1227971,3,1156
205431,5,466
9023,1,899
403188,3,35
105124,2,671
1311445,2,5264
90908,5,1144
105124,4,955
310686,4,227
36216,2,693
1304650,1,3916
227736,4,11
185490,1,68
409916,4,717
408294,2,2
122471,1,42
17778,4,768
152478,3,31
233204,3,1875
390888,4,29
222708,3,99
405691,4,889
1296843,1,846
154394,5,37
1324172,3,15
149353,2,6221
86162,1,3373
9023,2,1152
36216,5,393
175491,4,87
1299975,2,41
310686,3,289
218520,2,668
154394,1,80
180386,1,9308
304324,3,5326
115942,2,666
919095,2,3454
1231141,1,8458
1216279,3,433
32931,5,47
1304952,4,498
150935,5,100
913495,5,67
371535,3,9234
108414,1,720
129780,1,87
885407,2,3
195228,2,57
915999,3,7426
58262,3,3794
26223,4,26
82383,5,387
1302459,3,397
34780,4,636
79530,4,9
106880,1,890
238327,4,76
82698,3,4441
1315560,5,10338
113472,5,81
219438,2,506
1309069,1,983
192085,3,3
69247,4,22
125561,3,952
119750,3,408
1225069,1,790
222708,2,81
1220712,4,3232
178639,4,1461
1291336,2,69
10998,1,41
1248170,1,95
173409,5,3583
201772,5,1001
64133,5,54
82509,2,45
1163253,5,20
113472,3,99
23931,5,573
1210746,2,88
125325,3,5165
412791,4,44
123565,2,29
146978,1,709
404506,3,696
34757,3,74
1564618,1,618
123565,4,23
24168,5,32
921780,4,782
76239,1,19
408294,5,0
178639,1,2107
408294,4,0
182717,1,29
307125,3,4480
217352,2,16
122471,4,40
1266123,2,92
1298834,4,823
204993,5,78
164590,2,44
155517,5,5
20909,1,57
154394,2,76
55836,2,73
23931,4,643
24168,3,43
1238989,1,22
1266564,4,341
105124,3,622
1216279,4,326
17972,5,0
1295483,2,8003
1237717,4,57
30909,5,357
43289,4,2381
1270317,5,9
192085,4,3
177028,5,29
1279888,1,621
1263203,3,52
64133,3,45
39843,5,590
72156,5,513
1216279,5,254
1298052,1,2294
76239,4,15
915999,4,6109
77313,1,49
111720,1,4020
32931,1,53
918338,2,984
191730,2,31
1307023,5,675
1208095,3,2052
236208,2,441
1563228,4,48
1233344,2,7936
29511,1,48
1565869,3,749
1248170,3,55
129705,5,1573
1539030,5,247
221035,4,44
146819,3,2492
94986,1,5674
125561,2,1317
398021,2,6628
228934,5,686
1566589,2,71
1242536,3,24
219438,5,511
236208,5,368
1313684,3,14
84850,5,23
53569,3,13759
72156,3,554
1255496,1,545
32931,4,39
74336,3,17
1213965,5,52
1216034,2,971
190757,5,13
218520,4,476
392822,2,101
222575,3,560
46866,1,6383
1304952,3,340
82698,2,4688
86162,4,2621
17972,4,0
413688,2,730
1317830,4,478
1254393,2,7592
411636,4,1998
88498,1,5099
86830,1,72
82509,3,38
190757,2,20
156054,2,95
1261725,3,66
15395,1,100
400072,1,46
1315560,1,9746
160136,3,1207
228934,4,457
197386,2,40
233204,2,2206
55836,1,80
74106,3,2
1233344,5,7341
236208,4,323
29511,3,40
77313,2,35
85559,2,597
102648,5,1198
233204,1,2583
144034,2,80
187484,4,17
158372,4,726
137321,5,9089
209498,1,97
64133,1,62
152478,4,33
239070,1,64
71626,3,21
127237,3,3
155806,5,5
1286579,2,61
1563228,2,50
53918,1,94
192085,1,3
209498,5,96
53569,4,10417
888634,3,51
46866,4,5103
72443,4,13
1158412,2,7826
1272985,4,43
1252318,1,1288
223745,2,81
30909,3,526
1553993,1,8538
139391,1,711
129780,2,76
112734,5,118
1316882,5,62
191730,3,28
1266479,3,39
1272289,1,840
114190,4,70
915999,2,6730
110852,2,54
1289409,4,78
38658,1,21
1321869,3,97
113472,4,84
15395,3,123
171732,3,82
150935,4,79
887475,3,475
407909,5,4776
34757,4,58
1266564,1,748
23931,2,945
1309069,4,452
1313684,4,16
1216279,2,488
171732,2,108
193538,1,523
13964,1,100
24168,1,71
82509,5,27
69247,1,23
392822,4,69
156054,3,92
238327,2,56
1538343,4,70
195228,1,64
1291336,5,62
197386,3,37
913623,5,100
228934,2,622
223428,3,774
178639,2,1966
233204,5,1595
1272985,3,50
93735,4,7149
304324,2,6581
167128,1,904
1296843,5,453
1299975,1,49
108414,3,645
259471,2,14
1310727,3,6699
231881,1,620
404506,1,583
84850,4,27
1216034,4,780
137321,2,5702
60979,1,5
1252318,3,1509
1225069,3,502
1211848,5,649
74106,2,3
72156,2,661
106880,3,1203
60420,2,489
216124,1,2554
119750,2,575
1293458,2,614
112734,2,123
261973,4,85
1235287,4,63
1237043,1,40
90533,3,37
185123,4,2136
1208095,5,2285
1270158,2,57
261187,2,20
55836,4,57
119750,1,557
1539030,4,260
401287,2,560
9682,1,89
93735,5,5274
223745,1,99
1161658,4,40
887475,5,306
304324,5,5139
197895,4,446
206577,1,1945
90908,1,2521
41134,2,42
185490,4,72
182717,4,30
1286579,5,41
108414,2,564
1248627,3,7
178639,3,1839
218489,4,24
161105,5,791
922272,2,580
1238989,5,9
261187,4,15
134101,4,0
221035,3,58
60420,5,720
1158412,5,9850
404506,5,1102
1543407,4,789
918338,5,707
312985,4,2972
41134,5,36
1161293,3,654
1323917,1,995
23931,1,938
1303524,1,38
1266479,1,37
1266479,4,40
60979,3,4
1232842,5,3147
1313684,5,14
409916,3,587
411636,2,2061
102648,4,1334
90533,5,23
1323917,4,1799
98446,5,329
1208095,2,2456
108414,5,530
1156829,1,4797
152478,2,38
135870,3,52
1245765,1,90
55836,3,62
1237717,3,50
159408,1,5639
203619,3,434
177028,1,48
1284160,5,1158
1291336,3,54
63264,4,75
1237043,3,63
206577,3,1314
228934,3,521
1270158,5,77
98174,1,693
1228944,3,1066
100538,2,642
12306,4,933
135870,2,67
60438,3,7115
205431,1,625
1211848,4,675
1565560,3,1812
116808,3,468
403188,5,38
1233344,1,8652
312985,3,3074
1315560,4,14048
1267674,3,77
1553993,3,7028
43289,5,1734
411032,4,3408
76239,5,13
206577,2,1422
53569,2,12060
149353,3,4421
147911,1,99
1291336,1,92
146978,4,320
164590,4,26
1272289,4,1006
1318253,2,15
1159223,4,26
60438,5,6030
9023,3,1564
129705,4,1935
371535,4,12045
84850,3,32
221035,2,69
919095,1,4043
373850,2,5817
155806,4,7
94986,4,3051
215342,2,25
63264,1,77
392822,1,85
28701,1,2786
1317830,1,726
1564618,5,699
1282190,1,3194
173409,2,5678
1225069,5,353
143384,4,63
139391,3,651
310686,2,393
404506,2,473
1543407,1,791
175491,2,68
66253,1,733
211235,3,74
153783,3,66
30654,1,676
218489,5,17
98446,3,461
177028,2,35
1208107,2,53
146978,3,453
207253,1,65
64133,2,60
1210746,4,62
163249,4,76
178639,5,1425
114190,2,102
74336,5,12
239070,4,83
1299975,3,33
60438,2,7503
205431,3,519
169766,4,939
149353,4,6825
72443,5,15
1216279,1,678
1271607,1,34
146978,2,532
200157,3,57
1565560,5,1957
1287156,2,398
1216034,3,811
192584,4,401
1231141,5,5443
150935,3,55
114190,5,69
1208095,1,3272
227736,5,13
86830,5,29
409916,5,531
197386,4,34
1245765,2,86
60420,4,846
62427,1,62
160136,5,916
1259519,5,3628
187484,2,19
17972,2,2
913623,2,79
201772,2,1791
45683,3,587
911979,1,2645
1254393,1,8004
52209,2,24
1320561,5,2
153783,1,72
173409,4,3916
238327,5,59
211235,1,98
1318253,1,19
1159223,1,48
38658,2,18
1245765,4,47
204993,4,65
121424,1,861
214227,3,31
160960,2,1622
1563228,1,58
1240373,2,11
175059,4,83
141365,2,624
76239,2,13
1266564,5,480
416042,1,5107
1321869,1,99
219442,2,111
139391,5,457
93207,4,738
1563886,1,31
34757,1,83
921780,2,900
398970,4,13
305738,5,4016
160136,1,1874
217383,5,24
1225069,4,439
1240373,3,8
1316882,1,73
24168,2,58
67415,3,38
123565,3,24
1259519,2,4409
392822,3,80
93735,3,5888
82383,3,514
146819,1,3284
129705,2,3272
1220712,5,4180
34757,5,42
312985,2,2745
51392,3,1682
1317830,5,470
19458,2,608
60438,1,9170
239049,2,1265
74106,5,0
195498,3,8856
306511,1,5865
191730,4,24
1565560,2,1928
408294,1,3
32931,3,50
1564618,3,648
158372,1,1394
888634,4,36
64133,4,57
129705,3,2573
885407,1,4
112734,4,91
89647,4,47
